,D3,Unnamed: 1,Unnamed: 3
0,SR NO,COLLECTION NAME,CUT PRICE
1,1,ALBANIA,945
2,2,ARGENTINA - 1,0
3,3,JAMAICA,945
4,4,TUNISIA,945
5,5,ARGENTINA - 2,0
6,6,KENYA,1179
7,7,MONGOLIA,998
8,8,ARGENTINA - 3,0
9,9,TANZANIA,919
10,10,UGANDA,919
11,11,AUSTRIA,893
12,12,BAHARAIN,840
13,13,BELGIUM,683
14,14,BENIN,1040
15,15,BROOKLYN TEDDY,1704
16,16,CAIRO,1572
17,17,CALIFORNIA,0
18,18,ALMEDA,1572
19,19,ANDERSON,1572
20,20,BELL,1966
21,21,BISHOP,1966
22,22,CARSON,2097
23,23,FORTUNA,2097
24,24,CANADA,1155
25,25,CHICAGO,1179
26,26,CONGO,1011
27,27,CROATIA,971
28,28,CUBA,840
29,29,CYPRUS,1365
30,30,DENMARK,1194
31,31,DUBAI,1047
32,32,ESTONIA,866
33,33,FINLAND,916
34,34,GAMBIA,890
35,35,GERMANY,890
36,36,HAMILTON SHEER,0
37,37,BESLIEY,1179
38,38,BLAKELY,2097
39,39,GIBSON,1310
40,40,GREEN HILL,1572
41,41,ROCKTON,1441
42,42,WINONA,1704
43,43,HANOI,814
44,44,ICELAND,1047
45,45,ITALIAN HERRINGBONE,1704
46,46,JAPAN,2100
47,47,LAOS,1835
48,48,LATVIA,1208
49,49,LONDON,1116
50,50,MACAu,866
51,51,MANILA,853
52,52,MILAN,1011
53,53,NEW ZEALAND,0
54,54,AUCKLAND,3741
55,55,CLIVE,1378
56,56,DARFIELD,1562
57,57,DUNEDIN,6297
58,58,HASTING,1470
59,59,LINCOLN,2533
60,60,MARTON,3410
61,61,MATA MATA,1628
62,62,NAPIER,1562
63,63,QUEENS TOWN,1704
64,64,THAMES,3856
65,65,WELLINGTDN,1772
66,66,WEST PORT,6822
67,67,TIMARU,1523
68,68,NELSON,3741
69,69,NIGER,1168
70,70,POLAND,840
71,71,SAN MARINO,1310
72,72,SIBERIAN HUSKY,3147
73,73,TIBETIAN MOHAIR,998
74,74,TURKEY LINEN-I,0
75,75,ANAKARA,893
76,76,ADANA,788
77,77,KAYSERI,814
78,78,IZMIR,814
79,79,MANISA,1024
80,80,SIVAS,893
81,81,TDKET,814
82,82,TURKEY LINEN-II,0
83,83,BURSA,866
84,84,VAN,840
85,85,MERSIN,840
86,86,KONYA,893
87,87,UKRAINE,1126
88,88,VENICE,1310
89,89,BAKU,650
90,90,DAIZ,795
91,91,ELITE,590
92,92,LENKA,650
93,93,MELBOURNE,390
94,94,PRERTO,450
95,95,PARIS,590
96,96,PALAU,550
97,97,REXIN/TAIWAN,650
98,98,SAMOA,550
99,99,SUN,750
100,100,SNOW,590
101,101,SYDNEY,590
102,102,SALVE,450
103,103,VINTAGE,550
104,104,WATER,690
