,HARIT GROUP - THE HOME,Unnamed: 1,Unnamed: 2,Unnamed: 4
0,SR NO.,QUALITY,PRICE CODE,MRP 
1,1,AVENUE,A,1021
2,,,B,782
3,2,BELLA,A,1100
4,,,B,1021
5,,,C,1362
6,,,D,1021
7,,,E,1609
8,3,BIG SHOW,A,1743
9,,,B,1362
10,,,C,520
11,,,D,1021
12,,,E,927
13,,,F,1100
14,4,CLEAR,A,730
15,,,B,675
16,,,C,517
17,,,D,992
18,,,E,801
19,,,F,1100
20,,,G,685
21,,,H,1116
22,,,I,753
23,,,J,824
24,,,K,675
25,5,DISCOVERY,A,1722
26,,,B,1439
27,,,C,1124
28,,,D,806
29,,,E,924
30,,,F,921
31,6,ESTONIA,A,1160
32,,,B,921
33,,,C,992
34,7,ETERNAL GLORY,A,1116
35,,,B,1226
36,8,EZRA,A,575
37,9,FELTON,,830
38,10,GARYSON,A,1449
39,,,B,1100
40,,,C,1176
41,11,GROHE,A,921
42,,,B,924
43,,,C,840
44,12,HAYDEN,,1318
45,13,HAZEL,A,1318
46,,,B,1100
47,14,HERITAGE,A,1691
48,,,B,1814
49,,,C,1656
50,,,D,1297
51,,,E,1100
52,,,F,1260
53,15,HUDSON,A,1449
54,,,B,1100
55,,,C,1176
56,16,KARSON,A,1916
57,,,B,1100
58,,,C,1176
59,17,LENNOX,A,1460
60,,,B,1047
61,,,C,1575
62,,,D,924
63,18,LUSTRELL,A,643
64,19,MADISON,A,1916
65,,,B,1848
66,,,C,1100
67,,,D,1176
68,20,MALTA,A,1021
69,,,B,575
70,21,MAXIMUS,A,1100
71,,,B,998
72,22,MAXWELL,A,2229
73,,,B,1966
74,,,C,824
75,,,D,961
76,,,E,1226
77,,,F,675
78,,,G,1473
79,,,H,1100
80,,,I,927
81,23,OSCAR,,927
82,24,PANORAMIC,A,927
83,25,PURE,A,1473
84,,,B,1215
85,,,C,1215
86,,,D,1100
87,,,E,1100
88,,,F,675
89,,,G,950
90,,,H,753
91,26,RAYLESS,,520
92,27,ROYAL,A,992
93,,,B,730
94,,,C,675
95,,,D,1047
96,,,E,1297
97,,,F,1297
98,,,G,675
99,28,SAWYER,A,1691
100,,,B,1803
101,,,C,840
102,,,D,753
103,29,SOFT TOUCH,,580
104,30,SOLACE,A,1045
105,,,B,921
106,31,SUNRAYS,A,1260
107,,,B,1693
108,,,C,1743
109,,,D,2105
110,32,TIMELESS BEAUTY,A,1071
111,,,B,992
112,,,C,1743
113,,,D,1160
114,33,"TRIMS 
 2501 To 2512 - A",A,1100
115,,2513 To 2524 - B,B,685
116,,2525 To 2556 - A,A,1100
117,34,VANILA,,924
118,35,VELOUR,A,1021
119,,,B,643
120,36,VINCENT,A,927
121,,,B,1100
122,37,WELLS,,1176
123,38,WILSON,,1292
